year,total_violations,illum_all,illum_strict,share_all_pct,share_strict_pct
1972,49265,108,62,0.21922257180554147,0.12584999492540344
1973,224678,406,204,0.18070305058795252,0.09079660669936532
1974,313436,494,272,0.1576079327199173,0.08678007631542005
1975,375192,473,251,0.12606878611484254,0.06689908100385936
1976,324424,439,256,0.1353167459867334,0.07890908194214978
1977,181272,375,227,0.20687144181120085,0.12522617944304693
1978,150500,225,136,0.14950166112956811,0.09036544850498339
1979,156341,227,153,0.14519543817680583,0.09786300458612904
1980,159721,205,139,0.12834880823435865,0.08702675290037001
1981,132817,135,98,0.1016436148986952,0.07378573525979355
1982,174660,113,89,0.06469712584449788,0.05095614336425054
1983,235472,152,130,0.06455119929333424,0.055208262553509545
1984,236024,151,119,0.06397654475816018,0.05041860149815273
1985,258811,209,151,0.08075390922333285,0.05834373345800604
1986,286243,278,171,0.09712027892385142,0.05973945214380788
1987,305017,375,194,0.12294396705757384,0.0636030122911182
1988,328085,417,172,0.12710120852827772,0.05242543852964933
1989,388315,462,195,0.11897557395413517,0.050216963032589525
1990,430463,456,208,0.105932449478817,0.0483200646745481
1991,429972,395,170,0.09186644711748672,0.03953745825309555
1992,401919,547,241,0.13609707428611237,0.05996233071837858
1993,372474,521,220,0.1398755349366667,0.059064525309149095
1994,375334,580,246,0.15452903280811225,0.06554162425999244
1995,295374,413,152,0.13982273321280816,0.05146018268364853
1996,249808,411,150,0.16452635624159354,0.06004611541663998
1997,287757,431,174,0.14977915393891372,0.060467686276962855
1998,274955,387,177,0.14075030459529742,0.06437417031877944
1999,273377,369,179,0.13497843637175036,0.06547734447301712
2000,274757,402,182,0.1463111039937108,0.06624035056431683
2001,275250,344,144,0.12497729336966394,0.05231607629427793
2002,283882,365,147,0.12857454858004383,0.05178207846922313
2003,280467,431,186,0.15367226803866407,0.0663179625410476
2004,276325,455,168,0.16466117796073465,0.060797973400886635
2005,263795,416,144,0.15769821262722947,0.05458784283250251
2006,269687,418,171,0.15499449361667414,0.06340683829773033
2007,267561,404,138,0.15099360519657198,0.05157702355724489
2008,264509,425,157,0.16067506209618576,0.05935525823317921
2009,267301,465,167,0.17396118981971634,0.062476384300844366
2010,261909,453,172,0.17296083754281066,0.06567166458579125
2011,242119,457,179,0.18875016004526698,0.07393058785142843
2012,227714,355,123,0.1558973097833247,0.05401512423478574
2013,220770,343,116,0.15536531231598497,0.05254337092902115
2014,200111,266,100,0.13292622594460074,0.04997226539270705
2015,183994,248,100,0.134787003924041,0.054349598356468146
2016,176874,191,73,0.10798647624862896,0.041272318147381755
2017,170427,211,79,0.12380667382515681,0.04635415749851843
2018,164906,180,75,0.10915309327738226,0.045480455532242614
2019,167698,180,73,0.1073358060322723,0.043530632446421545
2020,110259,123,50,0.11155551927733791,0.0453477720639585
2021,114141,144,53,0.12615974978316294,0.04643379679519191
2022,128625,179,61,0.1391642371234208,0.04742468415937804
2023,146394,189,76,0.12910365178900773,0.051914695957484595
2024,142178,224,92,0.15754898788842156,0.06470762002560171
