activity_nr,standard,standard_clean,standard_label,category,strict,year,issuance_date,initial_penalty,current_penalty
104067,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-02-14,0.0,0.0
128702,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-03-07,0.0,0.0
128751,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-04-05,0.0,0.0
132290,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-02-15,0.0,0.0
164624,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-02-23,0.0,0.0
164848,19180092 A,19180092A,29 CFR 1918.92,maritime lighting,True,1984,1984-03-12,450.0,450.0
194449,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-03-16,0.0,0.0
241802,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1984,1984-03-14,0.0,0.0
269910,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-04-11,480.0,200.0
314385,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-05-18,0.0,0.0
378323,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-02-24,0.0,0.0
395087,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1984,1984-03-05,0.0,0.0
406595,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-02-07,0.0,0.0
464834,19100037 Q07,19100037Q07,29 CFR 1910.37(q)(7) [old numbering],exit sign illumination,False,1984,1984-02-27,0.0,0.0
522847,19260026,19260026,29 CFR 1926.26,construction illumination,True,1984,1984-03-01,0.0,0.0
538736,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-02-03,0.0,0.0
542035,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-03-15,100.0,100.0
611558,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-05-06,0.0,0.0
612655,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1986,1986-02-25,0.0,0.0
613687,19260026,19260026,29 CFR 1926.26,construction illumination,True,1985,1985-04-30,0.0,0.0
614115,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-10-30,0.0,0.0
614271,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1986,1986-03-19,0.0,0.0
614784,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-11-06,0.0,0.0
614883,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-07-01,0.0,0.0
619015,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1986,1986-10-16,0.0,0.0
619031,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1986,1986-10-14,0.0,0.0
619403,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1986,1986-10-16,0.0,0.0
619460,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1986,1986-10-15,0.0,0.0
619486,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1986,1986-10-16,0.0,0.0
620963,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1986,1986-11-14,0.0,0.0
633479,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1988,1988-10-27,480.0,290.0
634139,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1988,1988-11-17,280.0,280.0
634436,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1989,1989-03-03,350.0,350.0
635540,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1989,1989-02-10,640.0,640.0
637249,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1988,1988-12-28,240.0,240.0
637322,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1988,1988-10-20,200.0,200.0
637462,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1988,1988-11-01,240.0,145.0
637470,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1988,1988-11-01,160.0,0.0
639104,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1988,1988-10-18,500.0,375.0
644930,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-08-30,0.0,0.0
649103,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-13,0.0,0.0
649111,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-10,0.0,0.0
649129,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-22,0.0,0.0
649137,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-22,0.0,0.0
649145,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-22,0.0,0.0
649152,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-22,0.0,0.0
649160,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-22,0.0,0.0
654871,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-06-20,0.0,0.0
658765,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1984,1984-11-07,0.0,0.0
659318,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-01-07,0.0,0.0
662361,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-12-05,0.0,0.0
662387,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-12-05,0.0,0.0
668715,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1986,1986-02-20,0.0,0.0
672204,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-02-01,0.0,0.0
684829,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-01-03,0.0,0.0
691469,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-10-24,0.0,0.0
691964,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1984,1984-12-17,0.0,0.0
701052,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-08-30,0.0,0.0
705780,19260026,19260026,29 CFR 1926.26,construction illumination,True,1986,1986-01-17,0.0,0.0
705822,19260026,19260026,29 CFR 1926.26,construction illumination,True,1986,1986-01-21,320.0,180.0
705830,19260026,19260026,29 CFR 1926.26,construction illumination,True,1986,1986-01-22,400.0,235.0
705848,19260026,19260026,29 CFR 1926.26,construction illumination,True,1986,1986-01-22,250.0,125.0
708040,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-21,0.0,0.0
708149,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-30,0.0,0.0
736736,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1990,1990-04-27,0.0,0.0
749770,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1989,1989-01-04,0.0,0.0
769521,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1987,1987-01-14,0.0,0.0
771030,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1986,1986-08-15,0.0,0.0
778720,19260056 B,19260056B,29 CFR 1926.56,construction illumination,True,1985,1985-03-14,0.0,0.0
778969,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1994,1994-05-26,0.0,0.0
779009,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1994,1994-03-25,0.0,0.0
780742,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-09-11,0.0,0.0
780759,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-09-10,0.0,0.0
780767,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-09-11,0.0,0.0
780775,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-09-13,0.0,0.0
784272,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1987,1987-12-01,0.0,0.0
785170,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1989,1989-09-25,0.0,0.0
807966,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-30,0.0,0.0
816504,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1989,1989-07-19,100.0,100.0
818294,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1987,1987-09-16,200.0,200.0
824607,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-08-22,0.0,0.0
829861,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-11-19,0.0,0.0
831156,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-07-16,0.0,0.0
832600,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1987,1987-05-15,0.0,0.0
834606,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1987,1987-07-17,420.0,320.0
834929,19260026,19260026,29 CFR 1926.26,construction illumination,True,1987,1987-04-09,360.0,260.0
835447,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1988,1988-02-29,0.0,0.0
836619,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1987,1987-12-21,0.0,0.0
836627,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1987,1987-12-21,0.0,0.0
836643,19260056 B,19260056B,29 CFR 1926.56,construction illumination,True,1988,1988-02-09,0.0,0.0
837617,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1988,1988-01-25,240.0,240.0
837641,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1988,1988-01-25,300.0,300.0
837658,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1988,1988-01-20,200.0,200.0
839910,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1987,1987-07-02,0.0,0.0
858068,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-03-04,0.0,0.0
861120,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-06-06,0.0,0.0
862078,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-03-28,0.0,0.0
874966,19260026,19260026,29 CFR 1926.26,construction illumination,True,1986,1986-07-14,350.0,200.0
877373,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1987,1987-03-24,0.0,0.0
891911,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-01-28,0.0,0.0
932426,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-08,0.0,0.0
932434,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-08,0.0,0.0
932459,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-08,0.0,0.0
948018,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-12-28,0.0,0.0
948026,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-01-08,0.0,0.0
948034,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-01-08,0.0,0.0
948042,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-01-04,0.0,0.0
948091,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-12-28,0.0,0.0
948331,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-02-12,0.0,0.0
948349,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-02-12,0.0,0.0
948430,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-03-22,0.0,0.0
957290,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-09-07,0.0,0.0
957332,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-09-07,0.0,0.0
957357,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-09-07,0.0,0.0
973826,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-03-20,0.0,0.0
987313,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-03-06,0.0,0.0
989640,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-10-10,0.0,0.0
991802,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-05-17,0.0,0.0
992313,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1984,1984-07-24,0.0,0.0
998377,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1984,1984-10-12,0.0,0.0
999532,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1984,1984-08-29,0.0,0.0
1001601,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-02-27,0.0,0.0
1008812,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-11-20,0.0,0.0
1016716,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1984,1984-11-14,0.0,0.0
1019165,19260056 B,19260056B,29 CFR 1926.56,construction illumination,True,1985,1985-01-16,0.0,0.0
1019843,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1986,1986-03-27,0.0,0.0
1027531,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-12-31,0.0,0.0
1028489,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-01-10,0.0,0.0
1054675,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1985,1985-07-08,0.0,0.0
1055185,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-08,0.0,0.0
1064310,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1987,1987-09-02,0.0,0.0
1069863,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-01-14,0.0,0.0
1070663,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-12-10,0.0,0.0
1081488,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1985,1985-02-04,0.0,0.0
1082270,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-11-13,0.0,0.0
1096239,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-08-14,0.0,0.0
1096858,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-08-13,0.0,0.0
1098219,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-10-31,0.0,0.0
1098458,19260026,19260026,29 CFR 1926.26,construction illumination,True,1985,1985-01-04,0.0,0.0
1099159,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-10-31,0.0,0.0
1099175,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-11-01,0.0,0.0
1099183,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-10-31,0.0,0.0
1099191,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-10-31,0.0,0.0
1099332,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-11-08,0.0,0.0
1112705,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-07-09,180.0,100.0
1118694,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1985,1985-03-27,0.0,0.0
1120575,19180092 B01,19180092B01,29 CFR 1918.92,maritime lighting,True,1984,1984-06-29,0.0,0.0
1122886,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-12-02,450.0,225.0
1124544,19170123 A,19170123A,29 CFR 1917.123,maritime lighting,True,1984,1984-10-09,400.0,0.0
1125491,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-10-18,0.0,0.0
1125970,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-02-26,0.0,0.0
1147230,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-07-19,0.0,0.0
1150374,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-01-23,200.0,0.0
1160993,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-07-02,480.0,240.0
1169093,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-07-12,0.0,0.0
1171305,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-04-04,0.0,0.0
1171339,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-06-24,420.0,210.0
1177344,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-02-21,0.0,0.0
1182633,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-08-02,0.0,0.0
1190669,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-02-08,0.0,0.0
1219096,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1985,1985-10-28,0.0,0.0
1220599,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-09-14,0.0,0.0
1220862,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-09-13,0.0,0.0
1226653,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-04-05,0.0,0.0
1233071,19260026,19260026,29 CFR 1926.26,construction illumination,True,1984,1984-05-24,0.0,0.0
1239268,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1986,1986-03-11,0.0,0.0
1241710,19260026,19260026,29 CFR 1926.26,construction illumination,True,1985,1985-01-29,20.0,20.0
1241819,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1985,1985-01-31,0.0,0.0
1242882,19260026,19260026,29 CFR 1926.26,construction illumination,True,1986,1986-02-13,0.0,0.0
1242973,19260026,19260026,29 CFR 1926.26,construction illumination,True,1985,1985-11-13,0.0,0.0
1262864,19260026,19260026,29 CFR 1926.26,construction illumination,True,1985,1985-11-26,0.0,0.0
1262880,19260026,19260026,29 CFR 1926.26,construction illumination,True,1985,1985-11-26,0.0,0.0
1264019,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1985,1985-10-30,0.0,0.0
1264985,19260026,19260026,29 CFR 1926.26,construction illumination,True,1985,1985-11-26,0.0,0.0
1266766,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1984,1984-12-05,0.0,0.0
1274075,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-08-30,0.0,0.0
1274349,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-07-11,0.0,0.0
1277508,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1985,1985-01-31,0.0,0.0
1288786,19260026,19260026,29 CFR 1926.26,construction illumination,True,1984,1984-10-02,300.0,300.0
1294347,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-10-10,0.0,0.0
1372663,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-05-21,300.0,300.0
1377548,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1985,1985-12-18,0.0,0.0
1389626,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-12-17,0.0,0.0
1389634,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-12-11,0.0,0.0
1409721,19260026,19260026,29 CFR 1926.26,construction illumination,True,1986,1986-12-24,0.0,0.0
1436369,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-11-30,0.0,0.0
1436393,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-11-30,0.0,0.0
1482363,19260026,19260026,29 CFR 1926.26,construction illumination,True,1984,1984-08-29,0.0,0.0
1483098,19260056 A,19260056A,29 CFR 1926.56,construction illumination,True,1984,1984-09-26,0.0,0.0
1483288,19100037 Q06,19100037Q06,29 CFR 1910.37(q)(6) [old numbering],exit sign illumination,False,1984,1984-11-27,0.0,0.0
1508852,19100036 B06,19100036B06,29 CFR 1910.36(b)(6) [old numbering],exit route lighting,True,1985,1985-01-11,0.0,0.0
