activity_nr,standard,issuance_date,initial_penalty,sic_code,naics_code,sector
306921156,19100037 J,2003-09-09,,,,Unknown
306921222,19100037 Q01,2003-09-29,,,,Unknown
306921446,19100037 Q05,2003-09-11,,,,Unknown
306921446,19100037 Q08,2003-09-11,,,,Unknown
306922295,19100037 K02,2003-09-16,,,,Unknown
306922659,19100037 Q01,2003-11-26,,,,Unknown
306922725,19100037 G02,2004-01-13,413.0,,,Unknown
306922725,19100037 K02,2004-01-13,963.0,,,Unknown
306922766,19100037 K02,2004-01-13,,,,Unknown
306923962,19100037 Q01,2003-10-22,,,,Unknown
306924689,19100037 Q01,2003-09-30,,,,Unknown
306925819,19100037 K02,2003-10-15,,,,Unknown
306925827,19100037 K02,2003-10-29,,,,Unknown
306928516,19100037 K02,2003-08-06,,,,Unknown
306929027,19100037 B05,2003-08-27,,,,Unknown
306929480,19100037 B06,2003-09-19,,,,Unknown
306929480,19100037 B05,2003-09-19,,,,Unknown
306929480,19100037 B01,2003-09-19,,,,Unknown
306929688,19100037 K02,2003-11-21,1500.0,,,Unknown
306929779,19100037 B02,2003-12-24,,,,Unknown
306930587,19100037 A03,2003-08-22,,,,Unknown
306930587,19100037 B02,2003-08-20,,,,Unknown
306930587,19100037 A03,2003-08-20,,,,Unknown
306931965,19100037 A03,2003-12-17,,,,Unknown
306931965,19100037 A01,2003-12-17,1700.0,,,Unknown
306931965,19100037 A03,2003-12-17,,,,Unknown
306932088,19100037 K02,2003-12-11,,,,Unknown
306932096,19100037 K02,2003-12-18,,,,Unknown
306932138,19100037 K02,2004-02-02,,,,Unknown
306932146,19100037 K02,2004-02-02,,,,Unknown
306932245,19100037 K02,2004-02-03,,,,Unknown
306932252,19100037 Q05,2004-02-06,,,,Unknown
306932252,19100037 Q02,2004-02-06,,,,Unknown
306932252,19100037 K02,2004-02-06,,,,Unknown
306932286,19100037 K02,2004-02-12,,,,Unknown
306932294,19100037 K02,2004-02-12,,,,Unknown
306932302,19100037 K02,2004-02-13,,,,Unknown
306932310,19100037 A03   II,2004-03-02,,,,Unknown
306932328,19100037 A03   II,2004-03-02,,,,Unknown
306932328,19100037 A03,2004-03-02,,,,Unknown
306932583,19100037 A,2004-10-04,,,,Unknown
306932583,19100037 K01,2004-10-04,,,,Unknown
306932583,19100037 Q02,2004-10-04,,,,Unknown
306932625,19100037 F01,2004-06-21,,,,Unknown
306932625,19100037 G02,2004-06-21,,,,Unknown
306932625,19100037 Q02,2004-06-21,,,,Unknown
306932690,19100037 K01,2004-09-03,,,,Unknown
306932690,19100037 Q06,2004-09-03,,,,Unknown
306933136,19100037 Q01,2003-08-19,,,,Unknown
306933144,19100037 K02,2003-08-26,,,,Unknown
306933144,19100037 Q01,2003-08-26,,,,Unknown
306933144,19100037 Q06,2003-08-26,,,,Unknown
306933169,19100037 F06,2003-09-09,,,,Unknown
306933177,19100037 Q01,2003-09-15,,,,Unknown
306933375,19100037 B06,2004-03-02,,,,Unknown
